P,P_smooth,Q,region_name,fuel
6.389228886168911,6.4730802,.0305248182886862,Other Developing Asia,coal
6.401468788249694,6.4766784,.0308212585622096,Other Developing Asia,coal
6.413708690330478,6.4802737,.0311176988357329,Other Developing Asia,coal
6.425948592411261,6.4838662,.0314141391092562,Other Developing Asia,coal
6.438188494492045,6.4874563,.0317105793827795,Other Developing Asia,coal
6.450428396572828,6.4910431,.0320070196563029,Other Developing Asia,coal
6.462668298653611,6.494627,.0323034599298262,Other Developing Asia,coal
6.474908200734395,6.4982085,.0325999002033495,Other Developing Asia,coal
6.487148102815178,6.5017867,.0328963404768729,Other Developing Asia,coal
6.499388004895962,6.5053625,.0331927807503962,Other Developing Asia,coal
6.511627906976745,6.5089355,.0334892210239195,Other Developing Asia,coal
