reg_id,consumption_share1,consumption_share2,consumption_share3,consumption_share4,consumption_share5,consumption_share6,consumption_share7,consumption_share8,consumption_share9,consumption_share10
AU404,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU405,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU406,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU407,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU501,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU502,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU503,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU504,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU505,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU506,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU507,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU508,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU509,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU601,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU602,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU603,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU604,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU701,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU702,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU801,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
BE100,.012289826,.18964727,.0025319096,.12490746,.067636251,.053267494,.064821735,.064821735,.21003817,.21003817
BE211,.013163307,.21628837,.0048052524,.12652107,.065328754,.056787655,.068160973,.068160973,.19039181,.19039181
BE212,.013163307,.21628837,.0048052524,.12652107,.065328754,.056787655,.068160973,.068160973,.19039181,.19039181
BE213,.013163307,.21628837,.0048052524,.12652107,.065328754,.056787655,.068160973,.068160973,.19039181,.19039181
